GENE	gene	condition
CHRNA4	CHRNA4	Comprehensive Epilepsy Panel
CHRNA7	CHRNA7	Childhood-Onset Epilepsy Panel
CHRNA7	CHRNA7	Infantile Epilepsy Panel
CHRNA7	CHRNA7	Comprehensive Epilepsy Panel
CHRNB2	CHRNB2	Childhood-Onset Epilepsy Panel
CHRNB2	CHRNB2	Comprehensive Epilepsy Panel
CISD2	CISD2	Combined Mito Genome Plus Mito Nuclear Gene Panel
CISD2	CISD2	Comprehensive Mitochondrial Nuclear Gene Panel
CISD2	CISD2	Progressive External Ophthalmoplegia (PEO)/Optic Atrophy Nuclear Gene Panel
CLCN1	CLCN1	Neuromuscular Disorders Panel
CLCN5	CLCN5	CLCN5 Del/Dup (Females)
CLCN5	CLCN5	CLCN5 Gene Sequencing
CLDN1	CLDN1	Congenital Ichthyosis XomeDxSlice
CLN3	CLN3	Progressive Myoclonic Epilepsy Panel
CLN3	CLN3	Childhood-Onset Epilepsy Panel
CLN3	CLN3	Infantile Epilepsy Panel
CLN3	CLN3	Comprehensive Epilepsy Panel
CLN5	CLN5	Progressive Myoclonic Epilepsy Panel
CLN5	CLN5	Childhood-Onset Epilepsy Panel
CLN5	CLN5	Infantile Epilepsy Panel
CLN5	CLN5	Comprehensive Epilepsy Panel
CLN6	CLN6	Progressive Myoclonic Epilepsy Panel
CLN6	CLN6	Childhood-Onset Epilepsy Panel
CLN6	CLN6	Infantile Epilepsy Panel
CLN6	CLN6	Comprehensive Epilepsy Panel
CLN8	CLN8	Progressive Myoclonic Epilepsy Panel
CLN8	CLN8	Childhood-Onset Epilepsy Panel
CLN8	CLN8	Infantile Epilepsy Panel
CLN8	CLN8	Comprehensive Epilepsy Panel
CLRN1	CLRN1	Usher Syndrome Del/Dup Panel
CLRN1	CLRN1	Usher Syndrome Panel
CNBP	CNBP	CNBP Repeat Analysis
CNGA1	CNGA1	CNGA1 Del/Dup
CNGA1	CNGA1	CNGA1 Gene Sequencing
CNGA3	CNGA3	CNGA3 Del/Dup
CNGA3	CNGA3	CNGA3 Gene Sequencing
CNGB3	CNGB3	CNGB3 Del/Dup
CNGB3	CNGB3	CNGB3 Gene Sequencing
CNTN1	CNTN1	Neuromuscular Disorders Panel
CNTNAP2	CNTNAP2	Rett/Angelman Syndrome Panel
CNTNAP2	CNTNAP2	Childhood-Onset Epilepsy Panel
CNTNAP2	CNTNAP2	Infantile Epilepsy Panel
CNTNAP2	CNTNAP2	Comprehensive Epilepsy Panel
CNTNAP2	CNTNAP2	COA5 (C2ORF64)
CNTNAP2	CNTNAP2	Combined Mito Genome Plus Mito Nuclear Gene Panel
CNTNAP2	CNTNAP2	Comprehensive Mitochondrial Nuclear Gene Panel
CNTNAP2	CNTNAP2	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COL17A1	COL17A1	COL17A1 Del/Dup
COL17A1	COL17A1	COL17A1 Gene Sequencing
COL3A1	COL3A1	Marfan Syndrome/TAAD Del/Dup Panel
COL3A1	COL3A1	Marfan/TAAD Sequencing & Del/Dup Panel
COL3A1	COL3A1	Marfan Syndrome/TAAD Sequencing Panel
COL4A5	COL4A5	COL4A5 Del/Dup
COL4A5	COL4A5	COL4A5 Gene Sequencing
COL5A1	COL5A1	Marfan Syndrome/TAAD Del/Dup Panel
COL5A1	COL5A1	Marfan/TAAD Sequencing & Del/Dup Panel
COL5A1	COL5A1	Marfan Syndrome/TAAD Sequencing Panel
COL5A2	COL5A2	Marfan Syndrome/TAAD Del/Dup Panel
COL5A2	COL5A2	Marfan/TAAD Sequencing & Del/Dup Panel
COL5A2	COL5A2	Marfan Syndrome/TAAD Sequencing Panel
COL6A1	COL6A1	Congenital Myopathies & Muscular Dystrophies Panel
COL6A1	COL6A1	Neuromuscular Disorders Panel
COL6A2	COL6A2	Congenital Myopathies & Muscular Dystrophies Panel
COL6A2	COL6A2	Neuromuscular Disorders Panel
COL6A3	COL6A3	Congenital Myopathies & Muscular Dystrophies Panel
COL6A3	COL6A3	Neuromuscular Disorders Panel
COL7A1	COL7A1	COL7A1 Del/Dup
COL7A1	COL7A1	COL7A1 Gene Sequencing
COMP	COMP	COMP Del/Dup
COMP	COMP	COMP Gene Sequencing
COQ2	COQ2	Combined Mito Genome Plus Mito Nuclear Gene Panel
COQ2	COQ2	Comprehensive Mitochondrial Nuclear Gene Panel
COQ2	COQ2	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COQ2	COQ2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COQ2	COQ2	CoEnzyme Q10 Deficiency Nuclear Gene Panel
COQ6	COQ6	Combined Mito Genome Plus Mito Nuclear Gene Panel
COQ6	COQ6	Comprehensive Mitochondrial Nuclear Gene Panel
COQ6	COQ6	CoEnzyme Q10 Deficiency Nuclear Gene Panel
COQ9	COQ9	Combined Mito Genome Plus Mito Nuclear Gene Panel
COQ9	COQ9	Comprehensive Mitochondrial Nuclear Gene Panel
COQ9	COQ9	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COQ9	COQ9	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COQ9	COQ9	CoEnzyme Q10 Deficiency Nuclear Gene Panel
COX10	COX10	Combined Mito Genome Plus Mito Nuclear Gene Panel
COX10	COX10	Comprehensive Mitochondrial Nuclear Gene Panel
COX10	COX10	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COX10	COX10	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COX10	COX10	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COX10	COX10	COX14 (C12ORF62)
COX10	COX10	Combined Mito Genome Plus Mito Nuclear Gene Panel
COX10	COX10	Comprehensive Mitochondrial Nuclear Gene Panel
COX10	COX10	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COX10	COX10	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COX10	COX10	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COX15	COX15	Combined Mito Genome Plus Mito Nuclear Gene Panel
COX15	COX15	Comprehensive Mitochondrial Nuclear Gene Panel
COX15	COX15	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COX15	COX15	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COX15	COX15	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COX15	COX15	COX20 (FAM36A)
COX15	COX15	Combined Mito Genome Plus Mito Nuclear Gene Panel
COX15	COX15	Comprehensive Mitochondrial Nuclear Gene Panel
COX15	COX15	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COX15	COX15	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
COX6B1	COX6B1	Combined Mito Genome Plus Mito Nuclear Gene Panel
COX6B1	COX6B1	Comprehensive Mitochondrial Nuclear Gene Panel
COX6B1	COX6B1	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
COX6B1	COX6B1	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
COX6B1	COX6B1	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
CPS1	CPS1	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
CPS1	CPS1	Reflex Del/Dup Testing after Hyperammonemia Panel
CPT1A	CPT1A	Fatty Acid Oxidation Sequencing Panel
CPT1A	CPT1A	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
CPT1A	CPT1A	CPT1A Del/Dup
CPT1A	CPT1A	CPT1A Gene Sequencing
CPT1A	CPT1A	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
CPT1A	CPT1A	Reflex Del/Dup Testing after Hyperammonemia Panel
CPT2	CPT2	Fatty Acid Oxidation Sequencing Panel
CPT2	CPT2	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
CPT2	CPT2	CPT2 Del/Dup
CPT2	CPT2	CPT2 Gene Sequencing
CPT2	CPT2	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
CPT2	CPT2	Reflex Del/Dup Testing after Hyperammonemia Panel
CRB1	CRB1	CRB1 Del/Dup
CRB1	CRB1	CRB1 Gene Sequencing
CRB1	CRB1	LCA Tier 2
CRB1	CRB1	LCA Tier 1
CRB1	CRB1	arRP Del/Dup Panel
CRB1	CRB1	arRP Sequencing Panel
CREBBP	CREBBP	CREBBP Del/Dup
CREBBP	CREBBP	CREBBP Remaining Exons Sequencing
CREBBP	CREBBP	CREBBP Select Exons Sequencing & Del/Dup
CREBBP	CREBBP	CREBBP Sequencing & Del/Dup
CRX	CRX	CRX Del/Dup
CRX	CRX	CRX Gene Sequencing
CRYAB	CRYAB	Neuromuscular Disorders Panel
CRYAB	CRYAB	Comprehensive Cardiomyopathy Panel
CRYAB	CRYAB	Myofibrillar Myopathy Panel
CSRP3	CSRP3	DCM/LVNC Sequencing Panel
CSRP3	CSRP3	Comprehensive Cardiomyopathy Panel
CSTB	CSTB	Progressive Myoclonic Epilepsy Panel
CSTB	CSTB	Childhood-Onset Epilepsy Panel
CSTB	CSTB	Comprehensive Epilepsy Panel
CTSC	CTSC	CTSC Gene Sequencing
CTSD	CTSD	Progressive Myoclonic Epilepsy Panel
CTSD	CTSD	Childhood-Onset Epilepsy Panel
CTSD	CTSD	Infantile Epilepsy Panel
CTSD	CTSD	Comprehensive Epilepsy Panel
CUL4B	CUL4B	Syndromic Macrocephaly/Overgrowth Panel
CYBA	CYBA	CYBA Del/Dup
CYBA	CYBA	CYBA Gene Sequencing
CYBB	CYBB	CYBB Del/Dup
CYBB	CYBB	CYBB Gene Sequencing
CYBB	CYBB	CGD Tier 1
CYP17A1	CYP17A1	Premature Ovarian Failure Sequencing Panel
CYP17A1	CYP17A1	CYP17A1 Del/Dup
CYP17A1	CYP17A1	CYP17A1 Gene Sequencing
CYP19A1	CYP19A1	Premature Ovarian Failure Sequencing Panel
CYP19A1	CYP19A1	CYP19A1 Del/Dup
CYP19A1	CYP19A1	CYP19A1 Gene Sequencing
CYP1B1	CYP1B1	CYP1B1 Del/Dup
CYP1B1	CYP1B1	CYP1B1 Gene Sequencing
CYP27B1	CYP27B1	CYP27B1 Select Exons Sequencing
CYP4F22	CYP4F22	CYP4F22 Gene Sequencing
CYP4F22	CYP4F22	Congenital Ichthyosis XomeDxSlice
CYP4F22	CYP4F22	DBack To Top
DAG1	DAG1	Syndromic Congenital Muscular Dystrophy Panel
DAG1	DAG1	Neuromuscular Disorders Panel
DARS2	DARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
DARS2	DARS2	Comprehensive Mitochondrial Nuclear Gene Panel
DARS2	DARS2	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
DARS2	DARS2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
DBT	DBT	DBT Del/Dup
DBT	DBT	DBT Gene Sequencing
DBT	DBT	MSUD Sequencing panel
DBT	DBT	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
DBT	DBT	Reflex Del/Dup Testing after Hyperammonemia Panel
DCDC1	DCDC1	PAX6 Gene Sequencing & Del/Dup Panel
DCDC1	DCDC1	DCLRE1C (ARTEMIS)
DCDC1	DCDC1	Comprehensive SCID Panel
DCDC1	DCDC1	DCLRE1C Athabascan mutation
DCDC1	DCDC1	DCLRE1C Del/Dup
DCDC1	DCDC1	DCLRE1C Gene Sequencing & Deletion
DCDC1	DCDC1	B-negative SCID Panel
DCX	DCX	Cortical Brain Malformations Panel
DCX	DCX	Comprehensive Brain Malformations Panel
DES	DES	Cardiomyopathies Del/Dup Panel
DES	DES	Limb-Girdle Muscular Dystrophy Panel
DES	DES	DCM/LVNC Sequencing Panel
DES	DES	Neuromuscular Disorders Panel
DES	DES	Comprehensive Cardiomyopathy Panel
DES	DES	Myofibrillar Myopathy Panel
DES	DES	DFNB31 (WHRN)
DES	DES	Usher Syndrome Del/Dup Panel
DES	DES	Usher Syndrome Panel
DGUOK	DGUOK	Combined Mito Genome Plus Mito Nuclear Gene Panel
DGUOK	DGUOK	Comprehensive Mitochondrial Nuclear Gene Panel
DGUOK	DGUOK	MtDNA Depletion/Multiple Deletions Nuclear Gene Panel
DGUOK	DGUOK	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
DGUOK	DGUOK	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
DHCR7	DHCR7	DHCR7 Del/Dup
DHCR7	DHCR7	DHCR7 Gene Sequencing
DHCR7	DHCR7	Prenatal DHCR7 Gene Sequencing
DHCR7	DHCR7	Microcephaly Panel
DHH	DHH	DHH Del/Dup
DHH	DHH	DHH Gene Sequencing
DKC1	DKC1	DKC1 Del/Dup
DKC1	DKC1	DKC1 Gene Sequencing
DLAT	DLAT	Combined Mito Genome Plus Mito Nuclear Gene Panel
DLAT	DLAT	Comprehensive Mitochondrial Nuclear Gene Panel
DLAT	DLAT	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
DLAT	DLAT	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
DLD	DLD	Combined Mito Genome Plus Mito Nuclear Gene Panel
DLD	DLD	Comprehensive Mitochondrial Nuclear Gene Panel
DLD	DLD	DLD Del/Dup
DLD	DLD	DLD Gene Sequencing
DLD	DLD	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
DLD	DLD	Reflex Del/Dup Testing after Hyperammonemia Panel
DLD	DLD	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
DLD	DLD	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
DMD	DMD	DMD Del/Dup
DMD	DMD	DMD Gene Sequencing
DMD	DMD	Neuromuscular Disorders Panel
DMD	DMD	Comprehensive Cardiomyopathy Panel
DMP1	DMP1	DMP1 Gene Sequencing
DMPK	DMPK	DMPK Repeat Analysis
DNAJB2	DNAJB2	Hereditary Neuropathy Panel
DNAJB6	DNAJB6	Limb-Girdle Muscular Dystrophy Panel
DNAJB6	DNAJB6	Neuromuscular Disorders Panel
DNAJB6	DNAJB6	Myofibrillar Myopathy Panel
DNAJC19	DNAJC19	Methylglutaconic Aciduria Nuclear Gene Panel
DNAJC19	DNAJC19	Combined Mito Genome Plus Mito Nuclear Gene Panel
DNAJC19	DNAJC19	Comprehensive Mitochondrial Nuclear Gene Panel
DNAJC5	DNAJC5	Progressive Myoclonic Epilepsy Panel
DNAJC5	DNAJC5	Comprehensive Epilepsy Panel
DNM1L	DNM1L	Combined Mito Genome Plus Mito Nuclear Gene Panel
DNM1L	DNM1L	Comprehensive Mitochondrial Nuclear Gene Panel
DNM1L	DNM1L	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
DNM1L	DNM1L	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
DNM2	DNM2	Demyelinating CMT Panel
DNM2	DNM2	Axonal CMT Panel
DNM2	DNM2	Hereditary Neuropathy Panel
DNM2	DNM2	Neuromuscular Disorders Panel
DNMT1	DNMT1	Hereditary Neuropathy Panel
DOCK8	DOCK8	DOCK8 Del/Dup
DOCK8	DOCK8	DOCK8 Gene Sequencing
DOCK8	DOCK8	DOCK8 Gene Sequencing and Del/Dup
DOCK8	DOCK8	Hyper-IgE Syndromes Panel
DPM1	DPM1	Syndromic Congenital Muscular Dystrophy Panel
DPM1	DPM1	Neuromuscular Disorders Panel
DPM2	DPM2	Syndromic Congenital Muscular Dystrophy Panel
DPM2	DPM2	Neuromuscular Disorders Panel
DPM3	DPM3	Syndromic Congenital Muscular Dystrophy Panel
DPM3	DPM3	Neuromuscular Disorders Panel
DSC2	DSC2	Comprehensive Arrhythmia Panel
DSC2	DSC2	Comprehensive Cardiomyopathy Panel
DSC2	DSC2	ARVC Del/Dup Panel
DSC2	DSC2	ARVC Sequencing Panel
DSG2	DSG2	Comprehensive Arrhythmia Panel
DSG2	DSG2	Comprehensive Cardiomyopathy Panel
DSG2	DSG2	ARVC Del/Dup Panel
DSG2	DSG2	ARVC Sequencing Panel
DSP	DSP	Comprehensive Arrhythmia Panel
DSP	DSP	Comprehensive Cardiomyopathy Panel
DSP	DSP	ARVC Del/Dup Panel
DSP	DSP	ARVC Sequencing Panel
DTNA	DTNA	Comprehensive Cardiomyopathy Panel
DYNC1H1	DYNC1H1	Axonal CMT Panel
DYNC1H1	DYNC1H1	Hereditary Neuropathy Panel
DYNC1H1	DYNC1H1	Neuromuscular Disorders Panel
DYSF	DYSF	Limb-Girdle Muscular Dystrophy Panel
DYSF	DYSF	Neuromuscular Disorders Panel
DYSF	DYSF	EBack To Top
EARS2	EARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
EARS2	EARS2	Comprehensive Mitochondrial Nuclear Gene Panel
EARS2	EARS2	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
EARS2	EARS2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
EBP	EBP	Congenital Ichthyosis XomeDxSlice
EDA	EDA1	EDA1 Del/Dup
EDA	EDA1	EDA1 Gene Sequencing & Del/Dup (Female)
EDA	EDA1	EDA1 Gene Sequencing (males)
EDAR	EDAR	EDAR Del/Dup
EDAR	EDAR	EDAR Gene Sequencing
EDARADD	EDARADD	EDARADD Gene Sequencing
EFHC1	EFHC1	Childhood-Onset Epilepsy Panel
EFHC1	EFHC1	Comprehensive Epilepsy Panel
EFNB1	EFNB1	EFNB1 Del/Dup
EFNB1	EFNB1	EFNB1 Gene Sequencing
EGR2	EGR2	Demyelinating CMT Panel
EGR2	EGR2	Hereditary Neuropathy Panel
EGR2	EGR2	ELANE (ELA2)
EGR2	EGR2	ELANE (ELA2) Gene Sequencing
EGR2	EGR2	Periodic Fever Syndromes Panel (7 genes)
ELN	ELN	ELN Gene Sequencing
ELOVL4	ELOVL4	ELOVL4 Del/Dup
ELOVL4	ELOVL4	ELOVL4 Tier 1
ELOVL4	ELOVL4	ELOVL4 Tier 2
ELOVL4	ELOVL4	Congenital Ichthyosis XomeDxSlice
ELOVL4	ELOVL4	Stargardt Sequencing Panel
ELOVL4	ELOVL4	Stargardt Del/Dup Panel
ELP4	ELP4	PAX6 Gene Sequencing & Del/Dup Panel
EMD	EMD	DCM/LVNC Sequencing Panel
EMD	EMD	Neuromuscular Disorders Panel
EMD	EMD	Comprehensive Cardiomyopathy Panel
ENG	ENG	Hereditary Hemorrhagic Telangiectasia Panel
ENG	ENG	Pulmonary Arterial Hypertension Panel
EOMES	EOMES	Cortical Brain Malformations Panel
EOMES	EOMES	Comprehensive Brain Malformations Panel
EPCAM	EPCAM	Endometrial Cancer Panel
EPCAM	EPCAM	Colorectal Cancer Panel
EPCAM	EPCAM	Pancreatic Cancer Panel
EPCAM	EPCAM	High/Moderate Risk Panel
EPCAM	EPCAM	Breast/Ovarian Cancer Panel
EPCAM	EPCAM	OncoGeneDx Custom Panel
EPCAM	EPCAM	Comprehensive Cancer Panel
EPCAM	EPCAM	Lynch/Colorectal High Risk Panel
EPM2A	EPM2A	Progressive Myoclonic Epilepsy Panel
EPM2A	EPM2A	Childhood-Onset Epilepsy Panel
EPM2A	EPM2A	Comprehensive Epilepsy Panel
ETFA	ETFA	Combined Mito Genome Plus Mito Nuclear Gene Panel
ETFA	ETFA	Comprehensive Mitochondrial Nuclear Gene Panel
ETFA	ETFA	Fatty Acid Oxidation Sequencing Panel
ETFA	ETFA	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ETFA	ETFA	ETFA Del/Dup
ETFA	ETFA	ETFA Gene Sequencing
ETFA	ETFA	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ETFA	ETFA	Reflex Del/Dup Testing after Hyperammonemia Panel
ETFA	ETFA	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ETFB	ETFB	Combined Mito Genome Plus Mito Nuclear Gene Panel
ETFB	ETFB	Comprehensive Mitochondrial Nuclear Gene Panel
ETFB	ETFB	Fatty Acid Oxidation Sequencing Panel
ETFB	ETFB	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ETFB	ETFB	ETFB Del/Dup
ETFB	ETFB	ETFB Gene Sequencing
ETFB	ETFB	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ETFB	ETFB	Reflex Del/Dup Testing after Hyperammonemia Panel
ETFB	ETFB	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ETFDH	ETFDH	Combined Mito Genome Plus Mito Nuclear Gene Panel
ETFDH	ETFDH	Comprehensive Mitochondrial Nuclear Gene Panel
ETFDH	ETFDH	Fatty Acid Oxidation Sequencing Panel
ETFDH	ETFDH	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
ETFDH	ETFDH	ETFDH Del/Dup
ETFDH	ETFDH	ETFDH Gene Sequencing
ETFDH	ETFDH	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ETFDH	ETFDH	Reflex Del/Dup Testing after Hyperammonemia Panel
ETFDH	ETFDH	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ETFDH	ETFDH	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
ETFDH	ETFDH	CoEnzyme Q10 Deficiency Nuclear Gene Panel
ETHE1	ETHE1	Combined Mito Genome Plus Mito Nuclear Gene Panel
ETHE1	ETHE1	Comprehensive Mitochondrial Nuclear Gene Panel
ETHE1	ETHE1	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
ETHE1	ETHE1	ETHE1 Del/Dup
ETHE1	ETHE1	ETHE1 Gene Sequencing & Del/Dup
ETHE1	ETHE1	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ETHE1	ETHE1	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
EXT1	EXT1	EXT1 & EXT2 Sequencing & Del/Dup
EXT1	EXT1	HME Tier 1
EXT2	EXT2	HME Tier 2
EXT2	EXT2	EXT1 & EXT2 Sequencing & Del/Dup
EXT2	EXT2	HME Tier 1
EYA1	EYA1	EYA1 Del/Dup
EYA1	EYA1	EYA1 Gene Sequencing & Del/Dup
EYS	EYS	arRP Del/Dup Panel
EYS	EYS	arRP Sequencing Panel
EZH2	EZH2	Syndromic Macrocephaly/Overgrowth Panel
EZH2	EZH2	FBack To Top
F12	F12	F12 Select Exons Sequencing
FAH	FAH	FAH Del/Dup
FAH	FAH	FAH Gene Sequencing
FAH	FAH	FAH Remaining Exons Sequencing
FAH	FAH	FAH Select Exons Sequencing
FAM134B	FAM134B	Hereditary Neuropathy Panel
FANCC	FANCC	Breast/Ovarian Cancer Panel
FANCC	FANCC	OncoGeneDx Custom Panel
FANCC	FANCC	Comprehensive Cancer Panel
FARS2	FARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
FARS2	FARS2	Comprehensive Mitochondrial Nuclear Gene Panel
FARS2	FARS2	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
FARS2	FARS2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
FARS2	FARS2	FAS (TNFRSF6)
FARS2	FARS2	FAS (TNFRSF6) Gene Sequencing
FASTKD2	FASTKD2	Combined Mito Genome Plus Mito Nuclear Gene Panel
FASTKD2	FASTKD2	Comprehensive Mitochondrial Nuclear Gene Panel
FASTKD2	FASTKD2	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
FASTKD2	FASTKD2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
FBN1	FBN1	Marfan Syndrome/TAAD Del/Dup Panel
FBN1	FBN1	Marfan/TAAD Sequencing & Del/Dup Panel
FBN1	FBN1	Marfan Syndrome/TAAD Sequencing Panel
FBN1	FBN1	FBN1 Gene Sequencing & Del/Dup
FBN2	FBN2	Marfan Syndrome/TAAD Del/Dup Panel
FBN2	FBN2	Marfan/TAAD Sequencing & Del/Dup Panel
FBN2	FBN2	Marfan Syndrome/TAAD Sequencing Panel
FBP1	FBP1	Combined Mito Genome Plus Mito Nuclear Gene Panel
FBP1	FBP1	Comprehensive Mitochondrial Nuclear Gene Panel
FBP1	FBP1	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
FGD4	FGD4	Demyelinating CMT Panel
FGD4	FGD4	Hereditary Neuropathy Panel
FGF23	FGF23	FGF23 Gene Sequencing
FGF8	FGF8	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
FGFR1	FGFR1	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
FGFR1	FGFR1	FGFR1 Gene Sequencing
FH	FH	Combined Mito Genome Plus Mito Nuclear Gene Panel
FH	FH	Comprehensive Mitochondrial Nuclear Gene Panel
FH	FH	FH Del/Dup
FH	FH	FH Gene Sequencing
FH	FH	FH Gene Sequencing & Del/Dup
FH	FH	FH Remaining Exons Sequencing
FH	FH	FH Select Exons Sequencing
FH	FH	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
FH	FH	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
FHL1	FHL1	Neuromuscular Disorders Panel
FHL1	FHL1	Myofibrillar Myopathy Panel
FIG4	FIG4	Hereditary Neuropathy Panel
FIGLA	FIGLA	Premature Ovarian Failure Sequencing Panel
FKRP	FKRP	Syndromic Congenital Muscular Dystrophy Panel
FKRP	FKRP	Congenital Myopathies & Muscular Dystrophies Panel
FKRP	FKRP	Limb-Girdle Muscular Dystrophy Panel
FKRP	FKRP	Cortical Brain Malformations Panel
FKRP	FKRP	Comprehensive Brain Malformations Panel
FKRP	FKRP	Neuromuscular Disorders Panel
FKTN	FKTN	Syndromic Congenital Muscular Dystrophy Panel
FKTN	FKTN	Congenital Myopathies & Muscular Dystrophies Panel
FKTN	FKTN	Limb-Girdle Muscular Dystrophy Panel
FKTN	FKTN	Cortical Brain Malformations Panel
FKTN	FKTN	Comprehensive Brain Malformations Panel
FKTN	FKTN	Neuromuscular Disorders Panel
FKTN	FKTN	Comprehensive Cardiomyopathy Panel
FLCN	FLCN	FLCN Del/Dup
FLCN	FLCN	FLCN Gene Sequencing
FLCN	FLCN	FLCN Gene Sequencing and Del/Dup
FLCN	FLCN	Neuromuscular Disorders Panel
FLG	FLG	FLG (Filaggrin) Hot Spots
FLNA	FLNA	Marfan/TAAD Sequencing & Del/Dup Panel
FLNA	FLNA	Marfan Syndrome/TAAD Sequencing Panel
FLNA	FLNA	Cortical Brain Malformations Panel
FLNA	FLNA	Comprehensive Brain Malformations Panel
FLNC	FLNC	Myofibrillar Myopathy Panel
FMR1	FMR1	FMR1 CGG Repeat Analysis
FOLR1	FOLR1	Progressive Myoclonic Epilepsy Panel
FOLR1	FOLR1	STAT Epilepsy Panel
FOLR1	FOLR1	Childhood-Onset Epilepsy Panel
FOLR1	FOLR1	Infantile Epilepsy Panel
FOLR1	FOLR1	Comprehensive Epilepsy Panel
FOXC1	FOXC1	FOXC1 Del/Dup
FOXC1	FOXC1	FOXC1 Gene Sequencing
FOXE3	FOXE3	FOXE3 Gene Sequencing
FOXG1	FOXG1	Rett/Angelman Syndrome Panel
FOXG1	FOXG1	Microcephaly Panel
FOXG1	FOXG1	Childhood-Onset Epilepsy Panel
FOXG1	FOXG1	Infantile Epilepsy Panel
FOXG1	FOXG1	Comprehensive Epilepsy Panel
FOXRED1	FOXRED1	Combined Mito Genome Plus Mito Nuclear Gene Panel
FOXRED1	FOXRED1	Comprehensive Mitochondrial Nuclear Gene Panel
FOXRED1	FOXRED1	Mitochondrial Complex I Deficiency Nuclear Gene Panel
FOXRED1	FOXRED1	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
FRMD7	FRMD7	FRMD7 Gene Sequencing
